Timestamp,Robot_ID,End_Effector_Type,Commanded_Force_N,Measured_Force_N
2026-03-12 08:00:00,ROBOT_MX_01,Parallel_Gripper,25.0,24.996041973959642
2026-03-12 08:00:01,ROBOT_MX_02,Parallel_Gripper,26.263571678381844,27.29682109728243
2026-03-12 08:00:02,ROBOT_MX_01,Parallel_Gripper,27.518161013778112,27.8452662973971
2026-03-12 08:00:03,ROBOT_MX_01,Parallel_Gripper,28.7548495159208,26.70062563691978
2026-03-12 08:00:04,ROBOT_MX_01,Parallel_Gripper,29.964845946067683,32.764773856549226
2026-03-12 08:00:05,ROBOT_MX_02,Suction_Cup_Array,31.139548811218518,33.11860817986074
2026-03-12 08:00:06,ROBOT_MX_01,Parallel_Gripper,32.27060750948705,34.33177459827745
2026-03-12 08:00:07,ROBOT_MX_01,Suction_Cup_Array,33.349981691965105,31.840268036896155
2026-03-12 08:00:08,ROBOT_MX_01,Parallel_Gripper,34.369998419093605,
2026-03-12 08:00:09,ROBOT_MX_02,Suction_Cup_Array,35.32340670523331,32.77951947336952
2026-03-12 08:00:10,ROBOT_MX_01,Parallel_Gripper,36.20342906369477,37.835828960675336
2026-03-12 08:00:11,ROBOT_MX_01,Parallel_Gripper,37.00380968580966,42.00376650001061
2026-03-12 08:00:12,ROBOT_MX_01,Suction_Cup_Array,37.718858911553255,36.03873262877881
2026-03-12 08:00:13,ROBOT_MX_01,Suction_Cup_Array,38.34349367559015,37.554268443424334
2026-03-12 08:00:14,ROBOT_MX_02,Suction_Cup_Array,38.87327364122455,39.4825415079086
2026-03-12 08:00:15,ROBOT_MX_01,Parallel_Gripper,39.30443276539008,38.647133891746066
2026-03-12 08:00:16,ROBOT_MX_02,Suction_Cup_Array,39.63390607029335,36.77751286505447
2026-03-12 08:00:17,ROBOT_MX_02,Parallel_Gripper,39.859351431399695,40.40333367849235
2026-03-12 08:00:18,ROBOT_MX_02,Parallel_Gripper,39.97916622687721,38.148328428052395
2026-03-12 08:00:19,ROBOT_MX_01,Suction_Cup_Array,39.992498730143105,41.387042834476986
2026-03-12 08:00:20,ROBOT_MX_02,Suction_Cup_Array,39.899254164526425,38.36846327263544
2026-03-12 08:00:21,ROBOT_MX_01,Parallel_Gripper,39.70009537700629,43.35495762754312
2026-03-12 08:00:22,ROBOT_MX_02,Parallel_Gripper,39.39643812623629,38.151606212330194
2026-03-12 08:00:23,ROBOT_MX_02,Suction_Cup_Array,38.99044101835103,38.71411183431911
2026-03-12 08:00:24,ROBOT_MX_02,Suction_Cup_Array,38.48499016209809,40.5933763185744
2026-03-12 08:00:25,ROBOT_MX_02,Suction_Cup_Array,37.88367865237735,35.69886358786604
2026-03-12 08:00:26,ROBOT_MX_02,Parallel_Gripper,37.19078102803286,38.06844689070153
2026-03-12 08:00:27,ROBOT_MX_02,Parallel_Gripper,36.41122288546902,39.55622266946212
2026-03-12 08:00:28,ROBOT_MX_02,Parallel_Gripper,35.55054586409857,32.57483107151999
2026-03-12 08:00:29,ROBOT_MX_02,Parallel_Gripper,34.61486825252989,35.40259935544773
2026-03-12 08:00:30,ROBOT_MX_01,Parallel_Gripper,33.61084149553247,34.55659536345416
2026-03-12 08:00:31,ROBOT_MX_01,Parallel_Gripper,32.54560291095883,34.58743094169118
2026-03-12 08:00:32,ROBOT_MX_02,Suction_Cup_Array,31.42672495274396,29.22912845989999
2026-03-12 08:00:33,ROBOT_MX_02,Parallel_Gripper,30.26216138065601,27.88920249317903
2026-03-12 08:00:34,ROBOT_MX_02,Parallel_Gripper,29.060190719460916,30.556268007256403
2026-03-12 08:00:35,ROBOT_MX_01,Parallel_Gripper,27.82935740943234,28.85302522322203
2026-03-12 08:00:36,ROBOT_MX_02,Suction_Cup_Array,26.578411066550064,27.504446052276403
2026-03-12 08:00:37,ROBOT_MX_01,Parallel_Gripper,25.316244284167162,26.44378552411081
2026-03-12 08:00:38,ROBOT_MX_01,Parallel_Gripper,24.05182941829505,23.02377750298022
2026-03-12 08:00:39,ROBOT_MX_01,Suction_Cup_Array,22.794154805880186,23.681887569918295
2026-03-12 08:00:40,ROBOT_MX_01,Parallel_Gripper,21.552160869477344,22.567613063404576
